"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","ERA","playerid"
"Zack Greinke","Dodgers","8.08","1.62","5.00","0.57","23.7 %","4.7 %","19.0 %",".185","0.84",".229","86.5 %","44","72","83","1.66","2.76","-1.10","3.22","3.27","1.66","1943"
"Jake Arrieta","Cubs","9.28","1.89","4.92","0.39","27.1 %","5.5 %","21.6 %",".184","0.86",".246","80.0 %","45","60","68","1.77","2.35","-0.58","2.61","2.75","1.77","4153"
"Clayton Kershaw","Dodgers","11.64","1.62","7.17","0.58","33.8 %","4.7 %","29.1 %",".193","0.88",".281","78.3 %","57","52","54","2.13","1.99","0.14","2.09","2.24","2.13","2036"
"David Price","- - -","9.19","1.92","4.79","0.69","25.3 %","5.3 %","20.1 %",".227","1.08",".290","78.6 %","60","68","80","2.45","2.78","-0.32","3.24","3.27","2.45","3184"
"Dallas Keuchel","Astros","8.38","1.98","4.24","0.66","23.7 %","5.6 %","18.1 %",".216","1.02",".269","79.4 %","62","71","68","2.48","2.91","-0.43","2.75","2.84","2.48","9434"
"Jacob deGrom","Mets","9.66","1.79","5.39","0.75","27.3 %","5.1 %","22.2 %",".210","0.98",".271","78.0 %","69","70","75","2.54","2.70","-0.16","2.92","2.99","2.54","10954"
"Gerrit Cole","Pirates","8.74","1.90","4.59","0.48","24.3 %","5.3 %","19.0 %",".235","1.09",".304","74.9 %","69","70","82","2.60","2.66","-0.06","3.16","3.23","2.60","13125"
"Matt Harvey","Mets","8.94","1.76","5.08","0.86","24.9 %","4.9 %","20.0 %",".219","1.02",".272","78.7 %","73","79","84","2.71","3.05","-0.34","3.24","3.23","2.71","11713"
"Sonny Gray","Athletics","7.31","2.55","2.86","0.74","20.3 %","7.1 %","13.2 %",".216","1.08",".255","76.8 %","70","87","91","2.73","3.45","-0.73","3.69","3.80","2.73","12768"
"John Lackey","Cardinals","7.22","2.19","3.30","0.87","19.5 %","5.9 %","13.6 %",".251","1.21",".295","82.6 %","72","93","97","2.77","3.57","-0.80","3.77","3.90","2.77","1507"
"Max Scherzer","Nationals","10.86","1.34","8.12","1.06","30.7 %","3.8 %","26.9 %",".205","0.92",".268","79.6 %","71","72","74","2.79","2.77","0.03","2.88","2.63","2.79","3137"
"Madison Bumgarner","Giants","9.65","1.61","6.00","0.87","26.9 %","4.5 %","22.4 %",".220","1.01",".282","77.9 %","81","79","78","2.93","2.87","0.05","3.02","3.00","2.93","5524"
"Carlos Martinez","Cardinals","9.22","3.16","2.92","0.65","24.4 %","8.3 %","16.0 %",".246","1.29",".318","78.8 %","78","84","85","3.01","3.21","-0.21","3.28","3.44","3.01","11682"
"Shelby Miller","Braves","7.50","3.20","2.34","0.57","19.9 %","8.5 %","11.4 %",".234","1.25",".285","73.8 %","78","91","105","3.02","3.45","-0.42","4.07","4.16","3.02","10197"
"Lance Lynn","Cardinals","8.57","3.49","2.46","0.67","22.2 %","9.1 %","13.2 %",".254","1.37",".319","78.9 %","79","90","100","3.03","3.44","-0.41","3.90","4.00","3.03","2520"
"Scott Kazmir","- - -","7.62","2.90","2.63","0.98","20.3 %","7.7 %","12.6 %",".233","1.21",".273","75.7 %","78","98","102","3.10","3.98","-0.88","4.14","4.10","3.10","4897"
"Marco Estrada","Blue Jays","6.51","2.73","2.38","1.19","18.1 %","7.6 %","10.5 %",".202","1.04",".216","79.2 %","77","107","122","3.13","4.40","-1.27","4.93","4.64","3.13","1118"
"A.J. Burnett","Pirates","7.85","2.69","2.92","0.60","20.5 %","7.0 %","13.5 %",".272","1.36",".336","77.8 %","85","89","91","3.18","3.36","-0.18","3.55","3.65","3.18","512"
"Chris Archer","Rays","10.70","2.80","3.82","0.81","29.0 %","7.6 %","21.4 %",".219","1.14",".295","73.1 %","83","73","74","3.23","2.90","0.33","3.01","3.08","3.23","6345"
"Noah Syndergaard","Mets","9.96","1.86","5.35","1.14","27.5 %","5.1 %","22.4 %",".221","1.05",".279","75.0 %","88","84","75","3.24","3.25","-0.01","2.91","2.95","3.24","11762"
"Tyson Ross","Padres","9.73","3.86","2.52","0.41","25.8 %","10.2 %","15.6 %",".235","1.31",".320","74.0 %","88","78","81","3.26","2.98","0.28","3.15","3.35","3.26","7872"
"Jon Lester","Cubs","9.09","2.06","4.40","0.70","25.0 %","5.7 %","19.3 %",".236","1.12",".303","71.8 %","85","75","79","3.34","2.92","0.42","3.06","3.19","3.34","4930"
"Wei-Yin Chen","Orioles","7.20","1.93","3.73","1.32","19.3 %","5.2 %","14.1 %",".257","1.22",".290","80.5 %","81","99","99","3.34","4.16","-0.82","4.01","3.97","3.34","13071"
"Jake Odorizzi","Rays","7.97","2.44","3.26","0.96","21.4 %","6.6 %","14.9 %",".229","1.15",".271","77.0 %","87","91","98","3.35","3.61","-0.26","3.96","3.90","3.35","6397"
"Jose Quintana","White Sox","7.72","1.92","4.02","0.70","20.5 %","5.1 %","15.4 %",".269","1.27",".327","76.3 %","82","76","87","3.36","3.18","0.18","3.51","3.62","3.36","11423"
"Michael Wacha","Cardinals","7.59","2.88","2.64","0.94","20.1 %","7.6 %","12.5 %",".232","1.21",".272","76.2 %","88","101","100","3.37","3.87","-0.49","3.88","4.02","3.37","14078"
"Francisco Liriano","Pirates","9.88","3.38","2.93","0.72","26.5 %","9.1 %","17.5 %",".222","1.21",".293","74.2 %","90","84","81","3.38","3.19","0.19","3.16","3.38","3.38","3201"
"Chris Sale","White Sox","11.82","1.81","6.52","0.99","32.1 %","4.9 %","27.2 %",".232","1.09",".323","73.2 %","84","65","64","3.41","2.73","0.68","2.60","2.52","3.41","10603"
"Yovani Gallardo","Rangers","5.91","3.32","1.78","0.73","15.3 %","8.6 %","6.7 %",".267","1.42",".303","77.2 %","80","96","107","3.42","4.00","-0.58","4.31","4.59","3.42","8173"
"Johnny Cueto","- - -","7.47","1.95","3.83","0.89","20.3 %","5.3 %","15.0 %",".239","1.13",".281","73.7 %","85","88","96","3.44","3.53","-0.09","3.78","3.81","3.44","6893"
"Danny Salazar","Indians","9.49","2.58","3.68","1.12","25.8 %","7.0 %","18.8 %",".224","1.13",".278","74.5 %","87","89","86","3.45","3.62","-0.16","3.48","3.39","3.45","5867"
"Corey Kluber","Indians","9.93","1.82","5.44","0.89","27.7 %","5.1 %","22.6 %",".228","1.05",".297","71.4 %","87","73","75","3.49","2.97","0.51","3.05","2.98","3.49","2429"
"Masahiro Tanaka","Yankees","8.12","1.58","5.15","1.46","22.8 %","4.4 %","18.4 %",".217","0.99",".242","74.0 %","86","95","81","3.51","3.98","-0.48","3.29","3.36","3.51","15764"
"Felix Hernandez","Mariners","8.52","2.59","3.29","1.03","23.1 %","7.0 %","16.1 %",".237","1.18",".288","77.8 %","91","94","82","3.53","3.72","-0.19","3.33","3.38","3.53","4772"
"Edinson Volquez","Royals","6.96","3.23","2.15","0.72","18.2 %","8.5 %","9.8 %",".247","1.31",".290","73.1 %","87","96","105","3.55","3.82","-0.27","4.26","4.35","3.55","3990"
"Hector Santiago","Angels","8.07","3.54","2.28","1.44","20.9 %","9.2 %","11.7 %",".224","1.26",".252","79.9 %","94","122","124","3.59","4.77","-1.19","5.00","4.50","3.59","4026"
"Dan Haren","- - -","6.34","1.83","3.47","1.49","17.2 %","5.0 %","12.2 %",".241","1.13",".256","79.8 %","92","121","121","3.60","4.61","-1.01","4.69","4.48","3.60","1757"
"J.A. Happ","- - -","7.90","2.35","3.36","0.84","21.1 %","6.3 %","14.8 %",".258","1.27",".312","75.4 %","94","88","92","3.61","3.41","0.20","3.69","3.82","3.61","7410"
"Carlos Carrasco","Indians","10.58","2.11","5.02","0.88","29.6 %","5.9 %","23.7 %",".226","1.07",".304","71.8 %","91","70","66","3.63","2.84","0.79","2.66","2.74","3.63","6632"
"Cole Hamels","- - -","9.11","2.63","3.47","0.93","24.4 %","7.1 %","17.4 %",".235","1.19",".294","75.3 %","90","86","86","3.65","3.47","0.17","3.40","3.45","3.65","4972"
"Garrett Richards","Angels","7.64","3.30","2.32","0.87","20.4 %","8.8 %","11.6 %",".231","1.24",".274","71.8 %","96","99","94","3.65","3.86","-0.22","3.80","3.94","3.65","9784"
"Jordan Zimmermann","Nationals","7.32","1.74","4.21","1.07","19.7 %","4.7 %","15.0 %",".260","1.20",".302","74.5 %","93","98","98","3.66","3.75","-0.09","3.82","3.83","3.66","4505"
"Brett Anderson","Dodgers","5.79","2.30","2.52","0.90","15.5 %","6.1 %","9.3 %",".276","1.33",".310","73.8 %","99","102","91","3.69","3.94","-0.25","3.51","3.46","3.69","8223"
"Mike Fiers","- - -","8.98","3.19","2.81","1.20","23.7 %","8.4 %","15.2 %",".234","1.25",".283","75.1 %","91","99","103","3.69","4.03","-0.34","4.04","3.84","3.69","7754"
"Mike Leake","- - -","5.58","2.30","2.43","1.03","15.3 %","6.3 %","9.0 %",".240","1.16",".260","74.8 %","96","108","101","3.70","4.20","-0.49","3.93","4.19","3.70","10130"
"Jason Hammel","Cubs","9.07","2.11","4.30","1.21","24.2 %","5.6 %","18.6 %",".238","1.16",".288","72.8 %","96","94","90","3.74","3.68","0.07","3.47","3.45","3.74","4538"
"Erasmo Ramirez","Rays","6.94","2.20","3.15","0.88","18.9 %","6.0 %","12.9 %",".235","1.13",".272","70.5 %","97","95","96","3.75","3.76","-0.02","3.88","3.90","3.75","10314"
"Gio Gonzalez","Nationals","8.66","3.54","2.45","0.41","22.3 %","9.1 %","13.2 %",".264","1.42",".341","72.1 %","96","80","93","3.79","3.05","0.74","3.59","3.77","3.79","7448"
"Mark Buehrle","Blue Jays","4.12","1.49","2.76","1.00","11.0 %","4.0 %","7.0 %",".272","1.24",".285","69.0 %","93","104","111","3.81","4.26","-0.46","4.46","4.71","3.81","225"
"Kyle Gibson","Twins","6.70","3.01","2.23","0.83","17.7 %","7.9 %","9.7 %",".248","1.29",".287","73.0 %","95","98","98","3.84","3.96","-0.12","3.95","4.12","3.84","10123"
"Alex Wood","- - -","6.60","2.80","2.36","0.71","17.4 %","7.4 %","10.0 %",".268","1.36",".313","72.9 %","101","97","100","3.84","3.69","0.15","3.90","4.17","3.84","13781"
"Collin McHugh","Astros","7.56","2.34","3.23","0.84","19.9 %","6.2 %","13.7 %",".260","1.28",".310","74.3 %","97","87","97","3.89","3.58","0.31","3.91","3.91","3.89","7531"
"R.A. Dickey","Blue Jays","5.29","2.56","2.07","1.05","14.3 %","6.9 %","7.4 %",".240","1.19",".257","73.3 %","96","109","117","3.91","4.48","-0.58","4.72","4.76","3.91","1245"
"James Shields","Padres","9.61","3.60","2.67","1.47","25.1 %","9.4 %","15.7 %",".245","1.33",".299","79.9 %","105","116","95","3.91","4.45","-0.54","3.70","3.72","3.91","7059"
"Kyle Hendricks","Cubs","8.35","2.15","3.88","0.85","22.6 %","5.8 %","16.8 %",".241","1.16",".296","69.9 %","101","86","84","3.95","3.36","0.59","3.25","3.37","3.95","12049"
"Chris Heston","Giants","7.14","3.24","2.20","0.81","18.9 %","8.6 %","10.3 %",".253","1.31",".299","73.4 %","109","110","102","3.95","4.02","-0.07","3.98","4.07","3.95","10302"
"Julio Teheran","Braves","7.67","3.27","2.34","1.21","20.3 %","8.7 %","11.6 %",".248","1.31",".288","73.8 %","105","116","108","4.04","4.40","-0.37","4.19","4.24","4.04","6797"
"Anthony DeSclafani","Reds","7.36","2.68","2.75","0.83","19.2 %","7.0 %","12.2 %",".268","1.35",".318","69.9 %","101","92","102","4.05","3.67","0.37","3.97","4.08","4.05","13050"
"Yordano Ventura","Royals","8.60","3.20","2.69","0.77","22.5 %","8.4 %","14.1 %",".246","1.30",".307","72.5 %","101","89","89","4.08","3.57","0.51","3.60","3.69","4.08","11855"
"Tom Koehler","Marlins","6.58","3.70","1.78","1.06","17.1 %","9.6 %","7.5 %",".251","1.37",".283","71.9 %","104","120","118","4.08","4.53","-0.44","4.58","4.67","4.08","6570"
"Ubaldo Jimenez","Orioles","8.22","3.33","2.47","0.98","21.2 %","8.6 %","12.6 %",".256","1.36",".309","73.8 %","100","96","95","4.11","4.01","0.10","3.83","3.93","4.11","3374"
"Jimmy Nelson","Brewers","7.51","3.30","2.28","0.91","19.7 %","8.6 %","11.0 %",".242","1.29",".285","70.4 %","101","101","104","4.11","4.10","0.01","4.06","4.09","4.11","10547"
"Jon Niese","Mets","5.76","2.80","2.05","1.02","14.7 %","7.1 %","7.5 %",".272","1.40",".300","71.5 %","112","114","106","4.13","4.41","-0.29","4.11","4.27","4.13","4424"
"Bartolo Colon","Mets","6.29","1.11","5.67","1.16","16.7 %","2.9 %","13.7 %",".276","1.24",".307","71.9 %","113","99","102","4.16","3.84","0.32","3.94","4.02","4.16","375"
"Jesse Chavez","Athletics","7.80","2.75","2.83","1.03","20.2 %","7.1 %","13.1 %",".264","1.35",".312","72.0 %","107","97","96","4.18","3.85","0.34","3.89","3.99","4.18","5448"
"Nathan Eovaldi","Yankees","7.06","2.86","2.47","0.58","18.0 %","7.3 %","10.7 %",".282","1.45",".337","72.8 %","103","82","94","4.20","3.42","0.78","3.81","3.99","4.20","9132"
"Mike Pelfrey","Twins","4.70","2.46","1.91","0.60","12.0 %","6.3 %","5.7 %",".301","1.48",".334","70.5 %","105","99","110","4.26","4.00","0.27","4.45","4.59","4.26","5203"
"Ian Kennedy","Padres","9.30","2.78","3.35","1.66","24.4 %","7.3 %","17.1 %",".254","1.30",".301","71.6 %","115","117","95","4.28","4.51","-0.24","3.70","3.61","4.28","6986"
"Chase Anderson","Diamondbacks","6.54","2.36","2.78","1.06","17.3 %","6.3 %","11.1 %",".266","1.30",".302","72.3 %","106","106","107","4.30","4.14","0.17","4.17","4.26","4.30","6895"
"Andrew Cashner","Padres","8.04","3.22","2.50","0.93","20.5 %","8.2 %","12.3 %",".273","1.44",".330","65.6 %","117","100","99","4.34","3.85","0.48","3.84","4.00","4.34","8782"
"Michael Pineda","Yankees","8.74","1.18","7.43","1.18","23.4 %","3.1 %","20.2 %",".273","1.23",".332","68.6 %","107","80","73","4.37","3.34","1.03","2.95","3.09","4.37","5372"
"Phil Hughes","Twins","5.45","0.93","5.88","1.68","14.4 %","2.5 %","12.0 %",".291","1.29",".304","78.1 %","109","116","107","4.40","4.70","-0.30","4.31","4.39","4.40","7450"
"Wade Miley","Red Sox","6.83","2.97","2.30","0.79","17.7 %","7.7 %","10.0 %",".263","1.37",".307","69.7 %","106","96","101","4.46","3.81","0.65","4.08","4.24","4.46","8779"
"Jeff Locke","Pirates","6.90","3.21","2.15","0.80","17.5 %","8.2 %","9.4 %",".268","1.42",".312","67.1 %","120","104","102","4.49","3.95","0.54","3.94","4.18","4.49","2929"
"Trevor Bauer","Indians","8.69","4.04","2.15","1.18","22.9 %","10.6 %","12.2 %",".230","1.31",".276","71.6 %","114","107","106","4.55","4.33","0.22","4.28","4.20","4.55","12703"
"Taijuan Walker","Mariners","8.33","2.12","3.93","1.33","22.2 %","5.7 %","16.6 %",".248","1.20",".291","67.8 %","118","103","94","4.56","4.07","0.50","3.82","3.69","4.56","11836"
"Jered Weaver","Angels","5.09","1.87","2.73","1.36","13.5 %","4.9 %","8.5 %",".261","1.23",".273","71.1 %","122","124","126","4.64","4.81","-0.17","5.10","4.88","4.64","4235"
"Colby Lewis","Rangers","6.24","1.85","3.38","1.14","16.5 %","4.9 %","11.6 %",".261","1.24",".289","65.9 %","109","100","114","4.66","4.17","0.49","4.62","4.43","4.66","1259"
"Rubby de la Rosa","Diamondbacks","7.16","3.01","2.38","1.53","18.5 %","7.8 %","10.8 %",".260","1.36",".288","73.0 %","115","124","105","4.67","4.81","-0.14","4.10","4.19","4.67","3862"
"John Danks","White Sox","6.28","2.84","2.21","1.22","16.2 %","7.3 %","8.9 %",".275","1.41",".305","68.1 %","116","108","115","4.71","4.49","0.22","4.65","4.63","4.71","6329"
"CC Sabathia","Yankees","7.37","2.69","2.74","1.51","18.9 %","6.9 %","12.0 %",".281","1.42",".317","74.2 %","116","112","99","4.73","4.68","0.06","3.99","4.08","4.73","404"
"Aaron Harang","Phillies","5.64","2.66","2.12","1.36","14.4 %","6.8 %","7.6 %",".274","1.39",".293","69.7 %","124","122","128","4.86","4.83","0.02","4.99","4.87","4.86","1451"
"Rick Porcello","Red Sox","7.80","1.99","3.92","1.31","20.2 %","5.2 %","15.1 %",".284","1.36",".332","67.5 %","117","104","92","4.92","4.13","0.79","3.72","3.73","4.92","2717"
"Jeff Samardzija","White Sox","6.86","2.06","3.33","1.22","17.9 %","5.4 %","12.5 %",".269","1.29",".303","67.2 %","122","101","107","4.96","4.23","0.73","4.31","4.18","4.96","3254"
"Anibal Sanchez","Tigers","7.91","2.81","2.82","1.66","20.9 %","7.4 %","13.5 %",".249","1.28",".278","70.0 %","123","117","100","4.99","4.73","0.25","4.03","4.03","4.99","3284"
"Chris Tillman","Orioles","6.24","3.33","1.88","1.04","16.2 %","8.6 %","7.6 %",".262","1.39",".293","68.2 %","121","106","113","4.99","4.45","0.55","4.58","4.69","4.99","5279"
"Alfredo Simon","Tigers","5.63","3.27","1.72","1.16","14.3 %","8.3 %","6.0 %",".270","1.44",".294","67.8 %","124","118","118","5.05","4.77","0.28","4.78","4.88","5.05","2155"
"Drew Hutchison","Blue Jays","7.72","2.63","2.93","1.32","19.4 %","6.6 %","12.8 %",".294","1.48",".343","64.5 %","136","108","104","5.57","4.42","1.15","4.21","4.09","5.57","10732"
"Kyle Lohse","Brewers","6.38","2.54","2.51","1.71","16.2 %","6.5 %","9.8 %",".291","1.46",".314","68.7 %","144","126","115","5.85","5.12","0.73","4.48","4.43","5.85","739"
